USF Bull Runner_1,USF Bull Runner_432,28.067751,-82.407601,USF Bull Runner_446,28.065764,-82.40739,,,,,,
0,FALSE,FALSE,2159182310690,1469746640000,28.059813,-82.404726,3,4.5,115.599998,3,10,gps
1,FALSE,FALSE,2159182310690,1469746640000,28.059813,-82.404726,3,4.5,115.599998,3,10,gps
2,FALSE,FALSE,2159182310690,1469746640000,28.059813,-82.404726,3,4.5,115.599998,3,10,gps
3,FALSE,FALSE,2159182310690,1469746640000,28.059813,-82.404726,3,4.5,115.599998,3,10,gps
4,FALSE,FALSE,2160182253972,1469746641000,28.059798,-82.404704,4,3.25,113.900002,4,10,gps
5,FALSE,FALSE,2160182253972,1469746641000,28.059798,-82.404704,4,3.25,113.900002,4,10,gps
6,FALSE,FALSE,2161183413346,1469746642000,28.059792,-82.404692,4,1.75,115.099998,4,10,gps
7,FALSE,FALSE,2161183413346,1469746642000,28.059792,-82.404692,4,1.75,115.099998,4,10,gps
8,FALSE,FALSE,2162194776419,1469746643000,28.059788,-82.404672,3,1.75,110.300003,3,10,gps
9,FALSE,FALSE,2162194776419,1469746643000,28.059788,-82.404672,3,1.75,110.300003,3,10,gps
10,FALSE,FALSE,2163188538033,1469746644000,28.059779,-82.404646,2,3,110.300003,3,10,gps
11,FALSE,FALSE,2164192650272,1469746645000,28.059779,-82.404595,0,4.5,103.199997,3,10,gps
12,FALSE,FALSE,2164192650272,1469746645000,28.059779,-82.404595,0,4.5,103.199997,3,10,gps
13,FALSE,FALSE,2165182975584,1469746646000,28.059769,-82.404536,0,5.5,101,3,10,gps
14,FALSE,FALSE,2166182586677,1469746647000,28.05976,-82.404471,0,6.75,95.5,3,10,gps
15,FALSE,FALSE,2166182586677,1469746647000,28.05976,-82.404471,0,6.75,95.5,3,10,gps
16,FALSE,FALSE,2167183565063,1469746648000,28.059752,-82.404387,0,8,92.699997,3,10,gps
17,FALSE,FALSE,2167183565063,1469746648000,28.059752,-82.404387,0,8,92.699997,3,10,gps
18,FALSE,FALSE,2168183208188,1469746649000,28.059743,-82.404294,0,9,90.699997,3,10,gps
19,FALSE,FALSE,2168183208188,1469746649000,28.059743,-82.404294,0,9,90.699997,3,10,gps
20,FALSE,FALSE,2169183907041,1469746650000,28.059745,-82.404187,1,10,90.300003,3,10,gps
21,FALSE,FALSE,2169183907041,1469746650000,28.059745,-82.404187,1,10,90.300003,3,10,gps
22,FALSE,FALSE,2170182345791,1469746651000,28.059746,-82.40408,0,10.75,89.699997,3,10,gps
23,FALSE,FALSE,2171182498499,1469746652000,28.059742,-82.403958,0,11.5,89.800003,3,10,gps
24,FALSE,FALSE,2171182498499,1469746652000,28.059742,-82.403958,0,11.5,89.800003,3,10,gps
25,FALSE,FALSE,2172182515165,1469746653000,28.059744,-82.403834,2,12,89.199997,3,10,gps
26,FALSE,FALSE,2172182515165,1469746653000,28.059744,-82.403834,2,12,89.199997,3,10,gps
27,FALSE,FALSE,2173180220947,1469746654000,28.059752,-82.403703,2,12.75,89.800003,4,10,gps
28,FALSE,FALSE,2174183498133,1469746655000,28.059755,-82.403573,3,13,89,4,10,gps
29,FALSE,FALSE,2174183498133,1469746655000,28.059755,-82.403573,3,13,89,4,10,gps
30,FALSE,FALSE,2175182544539,1469746656000,28.059757,-82.403441,4,13.25,89.300003,4,10,gps
31,FALSE,FALSE,2176181987664,1469746657000,28.059766,-82.403323,4,12.75,88.699997,5,10,gps
32,FALSE,FALSE,2176181987664,1469746657000,28.059766,-82.403323,4,12.75,88.699997,5,10,gps
33,FALSE,FALSE,2177181685893,1469746658000,28.059768,-82.403193,5,12.25,89.800003,5,10,gps
34,FALSE,FALSE,2177181685893,1469746658000,28.059768,-82.403193,5,12.25,89.800003,5,10,gps
35,FALSE,FALSE,2178182971361,1469746659000,28.059781,-82.403085,5,11,90.5,5,10,gps
36,FALSE,FALSE,2178182971361,1469746659000,28.059781,-82.403085,5,11,90.5,5,10,gps
37,FALSE,FALSE,2179185514953,1469746660000,28.059781,-82.402981,6,9.5,90.800003,4,10,gps
38,FALSE,FALSE,2179185514953,1469746660000,28.059781,-82.402981,6,9.5,90.800003,4,10,gps
39,FALSE,FALSE,2179185514953,1469746660000,28.059781,-82.402981,6,9.5,90.800003,4,10,gps
40,FALSE,FALSE,2180183423391,1469746661000,28.059782,-82.402899,4,8,91.599998,5,10,gps
41,FALSE,FALSE,2181190981411,1469746662000,28.059778,-82.402824,5,7.5,89.300003,6,10,gps
