Hillsborough Area Regional Transit_144514,Hillsborough Area Regional Transit_4552,28.053455,-82.416369,Hillsborough Area Regional Transit_3109,28.0578,-82.415793,,,,,,
0,TRUE,FALSE,6850230000000,1467390000000,28.057786,-82.415798,-22,1,116,3.9,0,fused
1,TRUE,FALSE,6851230000000,1467390000000,28.057783,-82.415781,-22,1.25,110.900002,4,9,gps
2,TRUE,FALSE,6851230000000,1467390000000,28.057783,-82.415781,-22,1.25,110.900002,4,9,gps
3,TRUE,FALSE,6851230000000,1467390000000,28.057783,-82.415781,-22,1.25,110.900002,4,9,gps
4,TRUE,FALSE,6851230000000,1467390000000,28.057783,-82.415781,-22,1.25,110.900002,4,9,gps
5,TRUE,FALSE,6852230000000,1467390000000,28.057777,-82.415765,-21,1.5,109.900002,3,9,gps
6,TRUE,FALSE,6853230000000,1467390000000,28.057775,-82.415727,-22,3,103.199997,3,9,gps
7,TRUE,FALSE,6853230000000,1467390000000,28.057775,-82.415727,-22,3,103.199997,3,9,gps
8,TRUE,FALSE,6854240000000,1467390000000,28.057775,-82.415687,-22,4,94,4,0,fused
9,TRUE,FALSE,6854240000000,1467390000000,28.057775,-82.415687,-22,4,94,4,0,fused
10,TRUE,FALSE,6855240000000,1467390000000,28.057768,-82.415643,-22,4.25,99,4,0,fused
11,TRUE,FALSE,6855240000000,1467390000000,28.057768,-82.415643,-22,4.25,99,4,0,fused
12,TRUE,FALSE,6856230000000,1467390000000,28.057757,-82.415597,-22,4.5,104.599998,4,10,gps
13,TRUE,FALSE,6857250000000,1467390000000,28.057744,-82.415545,-21,5,106,9,0,fused
14,TRUE,TRUE,6857250000000,1467390000000,28.057744,-82.415545,-21,5,106,9,0,fused
15,TRUE,TRUE,6858230000000,1467390000000,28.057701,-82.415465,-21,7,116.599998,10,10,gps
16,TRUE,TRUE,6859230000000,1467390000000,28.057668,-82.415392,-22,7.75,118,10,0,fused
17,TRUE,TRUE,6859230000000,1467390000000,28.057668,-82.415392,-22,7.75,118,10,0,fused
18,TRUE,TRUE,6860230000000,1467390000000,28.057632,-82.415309,-23,8.5,118.199997,10,10,gps
19,TRUE,TRUE,6861230000000,1467390000000,28.057592,-82.415215,-23,9.75,117,10,0,fused
