Hillsborough Area Regional Transit_145278,Hillsborough Area Regional Transit_6254,28.022266,-82.535561,Hillsborough Area Regional Transit_7404,28.024847,-82.537339,,,,,,
0,FALSE,FALSE,24101738158876,1468013974000,28.040368,-82.549537,-26,4,129,10,0,fused
1,FALSE,FALSE,24102737964084,1468013975000,28.040363,-82.549479,-25,4.75,107.300003,9,10,gps
2,FALSE,FALSE,24103738819136,1468013976000,28.040402,-82.549327,-25,8.5,90,10,0,fused
3,FALSE,FALSE,24103738819136,1468013976000,28.040402,-82.549327,-25,8.5,90,10,0,fused
4,FALSE,FALSE,24103738819136,1468013976000,28.040402,-82.549327,-25,8.5,90,10,0,fused
5,FALSE,FALSE,24104739104344,1468013977000,28.040397,-82.549237,-25,8.75,91,11,0,fused
6,FALSE,FALSE,24104739104344,1468013977000,28.040397,-82.549237,-25,8.75,91,11,0,fused
7,FALSE,FALSE,24105742242625,1468013978000,28.040389,-82.549131,-26,10.25,91,10,0,fused
8,FALSE,FALSE,24105742242625,1468013978000,28.040389,-82.549131,-26,10.25,91,10,0,fused
9,FALSE,FALSE,24106746795125,1468013979000,28.040373,-82.549029,-26,10.5,93,11,0,fused
10,FALSE,FALSE,24106746795125,1468013979000,28.040373,-82.549029,-26,10.5,93,11,0,fused
11,FALSE,FALSE,24107754230124,1468013980000,28.04037,-82.548921,-26,10.5,93,13,0,fused
12,FALSE,FALSE,24107754230124,1468013980000,28.04037,-82.548921,-26,10.5,93,13,0,fused
13,FALSE,FALSE,24108746576687,1468013981000,28.040391,-82.548874,-27,8.5,87.800003,14,10,gps
14,FALSE,FALSE,24109755899030,1468013982000,28.04042,-82.548804,-27,8.25,82,16,0,fused
15,FALSE,FALSE,24109755899030,1468013982000,28.04042,-82.548804,-27,8.25,82,16,0,fused
16,FALSE,FALSE,24110756073977,1468013983000,28.040426,-82.548758,-27,7.25,82,19,0,fused
17,FALSE,FALSE,24110756073977,1468013983000,28.040426,-82.548758,-27,7.25,82,19,0,fused
18,FALSE,FALSE,24111739770123,1468013984000,28.040268,-82.548674,-27,8.25,112.099998,22,10,gps
19,FALSE,FALSE,24112759895330,1468013985000,28.040301,-82.548411,-28,13.5,92,15,0,fused
20,FALSE,FALSE,24112759895330,1468013985000,28.040301,-82.548411,-28,13.5,92,15,0,fused
21,FALSE,FALSE,24113740030070,1468013986000,28.040352,-82.548221,-29,14,91.800003,15,10,gps
22,FALSE,FALSE,24114742935904,1468013987000,28.040384,-82.548059,-30,14.75,90,16,0,fused
23,FALSE,FALSE,24114742935904,1468013987000,28.040384,-82.548059,-30,14.75,90,16,0,fused
24,FALSE,FALSE,24115755422569,1468013988000,28.040309,-82.54788,-29,15,91,16,0,fused
25,FALSE,FALSE,24115755422569,1468013988000,28.040309,-82.54788,-29,15,91,16,0,fused
26,FALSE,FALSE,24116744636423,1468013989000,28.040323,-82.547679,-28,16,90.099998,14,10,gps
27,FALSE,FALSE,24117754313662,1468013990000,28.040333,-82.547513,-28,16,92,15,0,fused
28,FALSE,FALSE,24117754313662,1468013990000,28.040333,-82.547513,-28,16,92,15,0,fused
29,FALSE,FALSE,24118746240120,1468013991000,28.040329,-82.547319,-29,16.25,89.599998,14,10,gps
30,FALSE,FALSE,24119755273245,1468013992000,28.040383,-82.547117,-29,16.5,87,15,0,fused
31,FALSE,FALSE,24119755273245,1468013992000,28.040383,-82.547117,-29,16.5,87,15,0,fused
32,FALSE,FALSE,24120746512098,1468013993000,28.040342,-82.546979,-31,16.5,90.699997,16,10,gps
33,FALSE,FALSE,24121755352411,1468013994000,28.040334,-82.546803,-32,17.75,88,14,0,fused
34,FALSE,FALSE,24121755352411,1468013994000,28.040334,-82.546803,-32,17.75,88,14,0,fused
35,FALSE,FALSE,24122758768450,1468013995000,28.040324,-82.546614,-32,18,89,15,0,fused
36,FALSE,FALSE,24122758768450,1468013995000,28.040324,-82.546614,-32,18,89,15,0,fused
37,FALSE,FALSE,24123756381420,1468013996000,28.040326,-82.546407,-33,18,91.199997,15,10,gps
38,FALSE,FALSE,24124741200483,1468013997000,28.040329,-82.546214,-32,18.5,90,14,0,fused
39,FALSE,FALSE,24124741200483,1468013997000,28.040329,-82.546214,-32,18.5,90,14,0,fused
40,FALSE,FALSE,24124741200483,1468013997000,28.040329,-82.546214,-32,18.5,90,14,0,fused
41,FALSE,FALSE,24124741200483,1468013997000,28.040329,-82.546214,-32,18.5,90,14,0,fused
42,FALSE,FALSE,24125741585795,1468013998000,28.040336,-82.546029,-33,18.75,91,15,0,fused
43,FALSE,FALSE,24125741585795,1468013998000,28.040336,-82.546029,-33,18.75,91,15,0,fused
44,FALSE,FALSE,24126763163086,1468013999000,28.040315,-82.545832,-31,18.75,93,14,0,fused
45,FALSE,FALSE,24126763163086,1468013999000,28.040315,-82.545832,-31,18.75,93,14,0,fused
46,FALSE,FALSE,24127745609805,1468014000000,28.04029,-82.54567,-31,18.5,94,15,9,gps
47,FALSE,FALSE,24128746457043,1468014001000,28.040293,-82.545462,-32,19,93,15,0,fused
48,FALSE,FALSE,24128746457043,1468014001000,28.040293,-82.545462,-32,19,93,15,0,fused
49,FALSE,FALSE,24129751671419,1468014002000,28.040322,-82.54524,-33,19.5,90,16,0,fused
50,FALSE,FALSE,24129751671419,1468014002000,28.040322,-82.54524,-33,19.5,90,16,0,fused
51,FALSE,FALSE,24130748095532,1468014003000,28.040306,-82.54509,-31,17.5,94.300003,15,9,gps
52,FALSE,FALSE,24131758180219,1468014004000,28.040312,-82.544886,-32,18,93,15,0,fused
53,FALSE,FALSE,24131758180219,1468014004000,28.040312,-82.544886,-32,18,93,15,0,fused
54,FALSE,FALSE,24132752784542,1468014005000,28.040223,-82.544673,-30,18.5,97.400002,16,9,gps
55,FALSE,FALSE,24133761213083,1468014006000,28.040194,-82.544499,-28,17.25,95,15,0,fused
56,FALSE,FALSE,24133761213083,1468014006000,28.040194,-82.544499,-28,17.25,95,15,0,fused
57,FALSE,FALSE,24134743865479,1468014007000,28.040209,-82.544316,-28,17,92.099998,15,8,gps
58,FALSE,FALSE,24135739879541,1468014008000,28.040224,-82.54414,-27,17,90,16,0,fused
59,FALSE,FALSE,24135739879541,1468014008000,28.040224,-82.54414,-27,17,90,16,0,fused
60,FALSE,FALSE,24136755976572,1468014009000,28.040223,-82.543967,-25,15.75,93,14,0,fused
61,FALSE,FALSE,24136755976572,1468014009000,28.040223,-82.543967,-25,15.75,93,14,0,fused
62,FALSE,FALSE,24137740985739,1468014010000,28.040199,-82.543867,-26,15.25,93.5,15,7,gps
63,FALSE,FALSE,24138742005581,1468014011000,28.040201,-82.543723,-25,14.75,92,15,0,fused
64,FALSE,FALSE,24138742005581,1468014011000,28.040201,-82.543723,-25,14.75,92,15,0,fused
65,FALSE,FALSE,24139736345112,1468014012000,28.040194,-82.543562,-26,14.75,92.900002,15,7,gps
66,FALSE,FALSE,24140742896050,1468014013000,28.040221,-82.543378,-28,15.5,90,17,0,fused
67,FALSE,FALSE,24140742896050,1468014013000,28.040221,-82.543378,-28,15.5,90,17,0,fused
68,FALSE,FALSE,24141749264798,1468014014000,28.040239,-82.543236,-28,14.75,88,20,0,fused
69,FALSE,FALSE,24141749264798,1468014014000,28.040239,-82.543236,-28,14.75,88,20,0,fused
70,FALSE,FALSE,24142744400892,1468014015000,28.040236,-82.543047,-28,15.5,89.699997,23,7,gps
71,FALSE,FALSE,24143739221047,1468014016000,28.040236,-82.542998,-28,12.5,89,22,0,fused
72,FALSE,FALSE,24143739221047,1468014016000,28.040236,-82.542998,-28,12.5,89,22,0,fused
73,FALSE,FALSE,24144747632402,1468014017000,28.040148,-82.543006,-28,9.75,103,16,0,fused
74,FALSE,FALSE,24144747632402,1468014017000,28.040148,-82.543006,-28,9.75,103,16,0,fused
75,FALSE,FALSE,24144747632402,1468014017000,28.040148,-82.543006,-28,9.75,103,16,0,fused
76,FALSE,FALSE,24144747632402,1468014017000,28.040148,-82.543006,-28,9.75,103,16,0,fused
77,FALSE,FALSE,24145744500371,1468014018000,28.040115,-82.542902,-27,10,104,17,8,gps
78,FALSE,FALSE,24146742555318,1468014019000,28.040048,-82.542834,-25,9.75,107,17,0,fused
79,FALSE,FALSE,24146742555318,1468014019000,28.040048,-82.542834,-25,9.75,107,17,0,fused
80,FALSE,FALSE,24147737500630,1468014020000,28.040057,-82.54269,-27,10.5,102.900002,18,8,gps
81,FALSE,FALSE,24148739113598,1468014021000,28.040031,-82.542627,-29,9.5,104,20,0,fused
82,FALSE,FALSE,24148739113598,1468014021000,28.040031,-82.542627,-29,9.5,104,20,0,fused
83,FALSE,FALSE,24149738880004,1468014022000,28.040034,-82.542543,-29,9,101.5,21,9,gps
84,FALSE,FALSE,24150755516462,1468014023000,28.040027,-82.54256,-29,6.5,101,20,0,fused
85,FALSE,FALSE,24150755516462,1468014023000,28.040027,-82.54256,-29,6.5,101,20,0,fused
86,FALSE,FALSE,24151760998910,1468014024000,28.039986,-82.542543,-29,5.75,109,19,0,fused
87,FALSE,FALSE,24151760998910,1468014024000,28.039986,-82.542543,-29,5.75,109,19,0,fused
88,FALSE,FALSE,24152738898649,1468014025000,28.039989,-82.542451,-29,6.25,104.699997,20,9,gps
89,FALSE,FALSE,24153742421930,1468014026000,28.039965,-82.54246,-30,4.75,111,18,0,fused
90,FALSE,FALSE,24153742421930,1468014026000,28.039965,-82.54246,-30,4.75,111,18,0,fused
91,FALSE,FALSE,24154764551929,1468014027000,28.040019,-82.542376,-32,4.75,94,18,0,fused
92,FALSE,FALSE,24154764551929,1468014027000,28.040019,-82.542376,-32,4.75,94,18,0,fused
93,FALSE,FALSE,24155738083127,1468014028000,28.040038,-82.54226,-32,5.75,90.300003,20,9,gps
94,FALSE,FALSE,24156746436616,1468014029000,28.04001,-82.542255,-31,4.75,97,21,0,fused
95,FALSE,FALSE,24156746436616,1468014029000,28.04001,-82.542255,-31,4.75,97,21,0,fused
96,FALSE,FALSE,24157744522918,1468014030000,28.039993,-82.542284,-30,1.75,91,17,8,gps
97,FALSE,FALSE,24158747365209,1468014031000,28.040028,-82.542238,-30,2,73,17,0,fused
98,FALSE,FALSE,24158747365209,1468014031000,28.040028,-82.542238,-30,2,73,17,0,fused
99,FALSE,FALSE,24159742433073,1468014032000,28.040032,-82.542228,-31,1.75,72.900002,17,8,gps
100,FALSE,FALSE,24160760080885,1468014033000,28.040054,-82.542185,-31,2.25,68,18,0,fused
101,FALSE,FALSE,24160760080885,1468014033000,28.040054,-82.542185,-31,2.25,68,18,0,fused
102,FALSE,FALSE,24161759291302,1468014034000,28.040107,-82.542167,-31,2.75,43.799999,18,8,gps
103,FALSE,FALSE,24162741436666,1468014035000,28.03995,-82.542243,-28,0,0,14,0,fused
104,FALSE,FALSE,24162741436666,1468014035000,28.03995,-82.542243,-28,0,0,14,0,fused
105,FALSE,FALSE,24163745094999,1468014036000,28.039944,-82.542281,-29,0.25,43,13,0,fused
106,FALSE,FALSE,24163745094999,1468014036000,28.039944,-82.542281,-29,0.25,43,13,0,fused
107,FALSE,FALSE,24164739170155,1468014037000,28.039958,-82.54229,-30,0.25,43.799999,13,9,gps
108,FALSE,FALSE,24164739170155,1468014037000,28.039958,-82.54229,-30,0.25,43.799999,13,9,gps
109,FALSE,FALSE,24164739170155,1468014037000,28.039958,-82.54229,-30,0.25,43.799999,13,9,gps
110,FALSE,FALSE,24165743039113,1468014038000,28.039969,-82.542304,-30,0.75,43,13,0,fused
111,FALSE,FALSE,24165743039113,1468014038000,28.039969,-82.542304,-30,0.75,43,13,0,fused
112,FALSE,FALSE,24166768082394,1468014039000,28.039981,-82.542294,-30,0.75,56,13,0,fused
113,FALSE,FALSE,24166768082394,1468014039000,28.039981,-82.542294,-30,0.75,56,13,0,fused
114,FALSE,FALSE,24167743489008,1468014040000,28.03998,-82.542284,-30,0.75,91.400002,12,9,gps
115,FALSE,FALSE,24168746699528,1468014041000,28.039985,-82.542271,-30,0.75,75,13,0,fused
116,FALSE,FALSE,24168746699528,1468014041000,28.039985,-82.542271,-30,0.75,75,13,0,fused
117,FALSE,FALSE,24169746780205,1468014042000,28.039981,-82.542254,-29,1,99,13,0,fused
118,FALSE,FALSE,24169746780205,1468014042000,28.039981,-82.542254,-29,1,99,13,0,fused
119,FALSE,FALSE,24170744788798,1468014043000,28.039977,-82.542236,-30,1,110.599998,12,9,gps
120,FALSE,FALSE,24171747687392,1468014044000,28.039964,-82.542197,-29,3,115,12,0,fused
121,FALSE,FALSE,24171747687392,1468014044000,28.039964,-82.542197,-29,3,115,12,0,fused
122,FALSE,FALSE,24172743705777,1468014045000,28.039957,-82.542155,-29,3.25,118.900002,12,9,gps
123,FALSE,FALSE,24173743855412,1468014046000,28.039938,-82.542113,-28,3.75,126,12,0,fused
124,FALSE,FALSE,24173743855412,1468014046000,28.039938,-82.542113,-28,3.75,126,12,0,fused
125,FALSE,FALSE,24174746868276,1468014047000,28.039905,-82.542072,-30,4.5,138,12,0,fused
126,FALSE,FALSE,24174746868276,1468014047000,28.039905,-82.542072,-30,4.5,138,12,0,fused
127,FALSE,FALSE,24175745702546,1468014048000,28.039829,-82.541965,-29,7.75,150.300003,13,9,gps
128,FALSE,FALSE,24176739526035,1468014049000,28.039752,-82.542006,-30,8.5,167,12,0,fused
129,FALSE,FALSE,24176739526035,1468014049000,28.039752,-82.542006,-30,8.5,167,12,0,fused
130,FALSE,FALSE,24177754931868,1468014050000,28.039663,-82.541992,-26,10,177,11,0,fused
131,FALSE,FALSE,24177754931868,1468014050000,28.039663,-82.541992,-26,10,177,11,0,fused
132,FALSE,FALSE,24178747131087,1468014051000,28.039587,-82.541972,-23,11.25,179.600006,11,9,gps
133,FALSE,FALSE,24179736854837,1468014052000,28.039483,-82.541974,-22,11.75,180,11,0,fused
