USF Bull Runner_11,USF Bull Runner_421,28.065656,-82.411269,USF Bull Runner_401,28.064358,-82.413793,,,,,,
61,TRUE,TRUE,2777216682718,1469747258000,28.065094,-82.413177,3,6.75,11,6,0,fused
62,TRUE,TRUE,2777216682718,1469747258000,28.065094,-82.413177,3,6.75,11,6,0,fused
63,TRUE,TRUE,2778211326394,1469747259000,28.06516,-82.413171,3,7.5,4.4,5,10,gps
64,TRUE,TRUE,2779192928091,1469747260000,28.065231,-82.41316,4,7.5,5,6,0,fused
65,TRUE,TRUE,2779192928091,1469747260000,28.065231,-82.41316,4,7.5,5,6,0,fused
66,TRUE,TRUE,2780234982539,1469747261000,28.065312,-82.41316,3,7.75,2,7,0,fused
67,TRUE,TRUE,2780234982539,1469747261000,28.065312,-82.41316,3,7.75,2,7,0,fused
68,TRUE,TRUE,2781218549775,1469747262000,28.065377,-82.413171,4,7.5,358.600006,9,10,gps
69,TRUE,TRUE,2782188353578,1469747263000,28.065448,-82.413186,4,7.5,355,10,0,fused
70,TRUE,TRUE,2782188353578,1469747263000,28.065448,-82.413186,4,7.5,355,10,0,fused
71,TRUE,TRUE,2782188353578,1469747263000,28.065448,-82.413186,4,7.5,355,10,0,fused
72,TRUE,TRUE,2782188353578,1469747263000,28.065448,-82.413186,4,7.5,355,10,0,fused
73,TRUE,TRUE,2783179272900,1469747264000,28.065531,-82.413218,3,7.25,352.399994,10,10,gps
74,TRUE,TRUE,2784211648480,1469747265000,28.065572,-82.41315,4,5.5,9,8,0,fused
75,TRUE,TRUE,2784211648480,1469747265000,28.065572,-82.41315,4,5.5,9,8,0,fused
76,TRUE,TRUE,2785234344414,1469747266000,28.065612,-82.413106,5,5,30,8,0,fused
77,TRUE,TRUE,2785234344414,1469747266000,28.065612,-82.413106,5,5,30,8,0,fused
78,TRUE,TRUE,2786203416705,1469747267000,28.065626,-82.413055,6,5.25,58.200001,7,10,gps
