USF Bull Runner_14,USF Bull Runner_102,28.059207,-82.413012,USF Bull Runner_502,28.053572,-82.416097,,,,,,
0,FALSE,FALSE,51217150000000,1469795697974,28.050414,-82.416192,0,0,0,45,0,fused
1,FALSE,FALSE,51217150000000,1469795697974,28.050414,-82.416192,0,0,0,45,0,fused
2,FALSE,FALSE,51217150000000,1469795697974,28.050414,-82.416192,0,0,0,45,0,fused
3,FALSE,FALSE,51226990833980,1469795709000,28.050456,-82.416202,-15,0,0,11,7,gps
4,FALSE,FALSE,51226990833980,1469795709000,28.050456,-82.416202,-15,0,0,11,7,gps
5,FALSE,FALSE,51227993430386,1469795710000,28.05046,-82.41619,-13,0,0,8,7,gps
6,FALSE,FALSE,51227993430386,1469795710000,28.05046,-82.41619,-13,0,0,8,7,gps
7,FALSE,FALSE,51228995062781,1469795711000,28.050437,-82.416189,-16,0,0,5,8,gps
8,FALSE,FALSE,51228995062781,1469795711000,28.050437,-82.416189,-16,0,0,5,8,gps
9,FALSE,FALSE,51228995062781,1469795711000,28.050437,-82.416189,-16,0,0,5,8,gps
10,FALSE,FALSE,51229997486480,1469795712000,28.050439,-82.416189,-16,0.5,3.9,4,8,gps
11,FALSE,FALSE,51229997486480,1469795712000,28.050439,-82.416189,-16,0.5,3.9,4,8,gps
12,FALSE,FALSE,51230998353406,1469795713000,28.050491,-82.416187,-13,2.75,350.600006,4,8,gps
13,FALSE,FALSE,51230998353406,1469795713000,28.050491,-82.416187,-13,2.75,350.600006,4,8,gps
14,FALSE,FALSE,51231987510645,1469795714000,28.050533,-82.4162,-13,4,347.600006,5,8,gps
15,FALSE,FALSE,51232992923822,1469795715000,28.050601,-82.41621,-11,6.5,348.600006,5,8,gps
16,FALSE,FALSE,51232992923822,1469795715000,28.050601,-82.41621,-11,6.5,348.600006,5,8,gps
17,FALSE,FALSE,51233986579707,1469795716000,28.050649,-82.416213,-12,6.5,349.200012,6,8,gps
18,FALSE,FALSE,51235001361009,1469795717000,28.050764,-82.416199,-13,9.75,355,5,8,gps
19,FALSE,FALSE,51235001361009,1469795717000,28.050764,-82.416199,-13,9.75,355,5,8,gps
20,FALSE,FALSE,51235999450434,1469795718000,28.050887,-82.416201,-14,11.25,358,5,9,gps
21,FALSE,FALSE,51236999469757,1469795719000,28.051006,-82.416202,-13,12.5,359.600006,5,9,gps
22,FALSE,FALSE,51236999469757,1469795719000,28.051006,-82.416202,-13,12.5,359.600006,5,9,gps
23,FALSE,FALSE,51238016057465,1469795720000,28.051129,-82.416203,-15,13.75,0,5,9,gps
24,FALSE,FALSE,51238016057465,1469795720000,28.051129,-82.416203,-15,13.75,0,5,9,gps
25,FALSE,FALSE,51239024991996,1469795721000,28.051271,-82.416204,-16,14.75,0.5,4,9,gps
26,FALSE,FALSE,51239024991996,1469795721000,28.051271,-82.416204,-16,14.75,0.5,4,9,gps
