USF Bull Runner_5,USF Bull Runner_418,28.065787,-82.412041,USF Bull Runner_426,28.065759,-82.409847,,,,,,
0,FALSE,FALSE,4726390985213,1468939588000,28.059162,-82.413416,-8,0.25,358.600006,4,9,gps
1,FALSE,FALSE,4726390985213,1468939588000,28.059162,-82.413416,-8,0.25,358.600006,4,9,gps
2,FALSE,FALSE,4726390985213,1468939588000,28.059162,-82.413416,-8,0.25,358.600006,4,9,gps
3,FALSE,FALSE,4727394155472,1468939589000,28.059157,-82.413416,-9,0.5,358.600006,4,8,gps
4,FALSE,FALSE,4727394155472,1468939589000,28.059157,-82.413416,-9,0.5,358.600006,4,8,gps
5,FALSE,FALSE,4727394155472,1468939589000,28.059157,-82.413416,-9,0.5,358.600006,4,8,gps
6,FALSE,FALSE,4728387013024,1468939590000,28.059152,-82.413418,-9,0.5,358.600006,5,8,gps
7,FALSE,FALSE,4729395176774,1468939591000,28.059138,-82.413416,-10,1.25,182.399994,4,9,gps
8,FALSE,FALSE,4729395176774,1468939591000,28.059138,-82.413416,-10,1.25,182.399994,4,9,gps
9,FALSE,FALSE,4730395893804,1468939592000,28.059122,-82.413411,-12,1.25,175.199997,4,9,gps
10,FALSE,FALSE,4730395893804,1468939592000,28.059122,-82.413411,-12,1.25,175.199997,4,9,gps
11,FALSE,FALSE,4731403710054,1468939593000,28.05911,-82.41341,-12,1.25,175.199997,4,9,gps
12,FALSE,FALSE,4731403710054,1468939593000,28.05911,-82.41341,-12,1.25,175.199997,4,9,gps
13,FALSE,FALSE,4732394493960,1468939594000,28.059098,-82.413404,-13,1,164.399994,4,6,gps
14,FALSE,FALSE,4733399355418,1468939595000,28.059089,-82.413401,-14,1,164.399994,5,6,gps
15,FALSE,FALSE,4733399355418,1468939595000,28.059089,-82.413401,-14,1,164.399994,5,6,gps
16,FALSE,FALSE,4734403712709,1468939596000,28.059089,-82.413404,-14,0.5,164.399994,4,6,gps
17,FALSE,FALSE,4734403712709,1468939596000,28.059089,-82.413404,-14,0.5,164.399994,4,6,gps
18,FALSE,FALSE,4735406827344,1468939597000,28.059092,-82.413408,-14,0,0,3,9,gps
19,FALSE,FALSE,4735406827344,1468939597000,28.059092,-82.413408,-14,0,0,3,9,gps
20,FALSE,FALSE,4736405772812,1468939598000,28.059093,-82.413411,-13,0,0,3,9,gps
21,FALSE,FALSE,4737405502603,1468939599000,28.059093,-82.413413,-13,0,0,3,9,gps
22,FALSE,FALSE,4737405502603,1468939599000,28.059093,-82.413413,-13,0,0,3,9,gps
23,FALSE,FALSE,4738392342499,1468939600000,28.059093,-82.413413,-13,0,0,3,9,gps
24,FALSE,FALSE,4739397666717,1468939601000,28.059093,-82.413411,-13,0,0,3,9,gps
