Hillsborough Area Regional Transit_171628,Hillsborough Area Regional Transit_1081,27.996249,-82.501021,Hillsborough Area Regional Transit_5478,27.998794,-82.500982,,,,,,
0,FALSE,FALSE,25832731564206,1468015705000,28.035893,-82.500645,-22,8.25,180.5,10,10,gps
1,FALSE,FALSE,25832731564206,1468015705000,28.035893,-82.500645,-22,8.25,180.5,10,10,gps
2,FALSE,FALSE,25832731564206,1468015705000,28.035893,-82.500645,-22,8.25,180.5,10,10,gps
3,FALSE,FALSE,25832731564206,1468015705000,28.035893,-82.500645,-22,8.25,180.5,10,10,gps
4,FALSE,FALSE,25833730989050,1468015706000,28.035821,-82.500655,-21,7.75,181.899994,10,10,gps
5,FALSE,FALSE,25834731923632,1468015707000,28.035742,-82.500649,-22,7.25,182.199997,10,10,gps
6,FALSE,FALSE,25834731923632,1468015707000,28.035742,-82.500649,-22,7.25,182.199997,10,10,gps
7,FALSE,FALSE,25835740169621,1468015708000,28.035672,-82.50066,-22,8,182.5,10,10,gps
8,FALSE,FALSE,25835740169621,1468015708000,28.035672,-82.50066,-22,8,182.5,10,10,gps
9,FALSE,FALSE,25836745096705,1468015709000,28.035597,-82.500667,-21,9,183.899994,10,9,gps
10,FALSE,FALSE,25836745096705,1468015709000,28.035597,-82.500667,-21,9,183.899994,10,9,gps
11,FALSE,FALSE,25837748185506,1468015710000,28.035508,-82.500673,-21,9.5,183.600006,11,10,gps
12,FALSE,FALSE,25837748185506,1468015710000,28.035508,-82.500673,-21,9.5,183.600006,11,10,gps
13,FALSE,FALSE,25838747233006,1468015711000,28.035406,-82.500703,-21,10.5,187,11,10,gps
14,FALSE,FALSE,25839747575348,1468015712000,28.035297,-82.500683,-20,11,182.100006,11,10,gps
15,FALSE,FALSE,25839747575348,1468015712000,28.035297,-82.500683,-20,11,182.100006,11,10,gps
16,FALSE,FALSE,25840733828161,1468015713000,28.03519,-82.500685,-23,12,184.699997,11,10,gps
17,FALSE,FALSE,25841748909515,1468015714000,28.035074,-82.500707,-23,12.75,185.399994,11,11,gps
18,FALSE,FALSE,25841748909515,1468015714000,28.035074,-82.500707,-23,12.75,185.399994,11,11,gps
19,FALSE,FALSE,25842736601650,1468015715000,28.034955,-82.500716,-23,13.5,185.199997,10,11,gps
20,FALSE,FALSE,25843752960452,1468015716000,28.03483,-82.500737,-22,13.75,185.899994,11,11,gps
