Hillsborough Area Regional Transit_149822,Hillsborough Area Regional Transit_4406,28.061895,-82.543221,Hillsborough Area Regional Transit_5521,28.059186,-82.536,,,,,,
0,FALSE,FALSE,9652520000000,1466710000000,28.044068,-82.514229,0,0,0,23.934,0,fused
1,FALSE,FALSE,9659280000000,1466710000000,28.044108,-82.51419,0,0,0,17.611,0,fused
2,FALSE,FALSE,9664200000000,1466710000000,28.044315,-82.513766,-5,0.79511,159,14,10,gps
3,FALSE,FALSE,9664200000000,1466710000000,28.044315,-82.513766,-5,0.79511,159,14,10,gps
4,FALSE,FALSE,9664200000000,1466710000000,28.044315,-82.513766,-5,0.79511,159,14,10,gps
5,FALSE,FALSE,9665200000000,1466710000000,28.044363,-82.513783,-12,0.25318,348.700012,5,11,gps
6,FALSE,FALSE,9665200000000,1466710000000,28.044363,-82.513783,-12,0.25318,348.700012,5,11,gps
7,FALSE,FALSE,9666200000000,1466710000000,28.044351,-82.513783,-11,0.230868,220.600006,3,10,gps
8,FALSE,FALSE,9666200000000,1466710000000,28.044351,-82.513783,-11,0.230868,220.600006,3,10,gps
9,FALSE,FALSE,9667200000000,1466710000000,28.044345,-82.513788,-11,0.637809,256,3,10,gps
10,FALSE,FALSE,9668200000000,1466710000000,28.044351,-82.513799,-11,0.24,0,3,11,gps
11,FALSE,FALSE,9668200000000,1466710000000,28.044351,-82.513799,-11,0.24,0,3,11,gps
12,FALSE,FALSE,9669200000000,1466710000000,28.044332,-82.513792,-12,1.114002,138.899994,3,12,gps
13,FALSE,FALSE,9669200000000,1466710000000,28.044332,-82.513792,-12,1.114002,138.899994,3,12,gps
14,FALSE,FALSE,9669200000000,1466710000000,28.044332,-82.513792,-12,1.114002,138.899994,3,12,gps
15,FALSE,FALSE,9669200000000,1466710000000,28.044332,-82.513792,-12,1.114002,138.899994,3,12,gps
16,FALSE,FALSE,9670200000000,1466710000000,28.044324,-82.513784,-11,0.485077,138.699997,3,12,gps
17,FALSE,FALSE,9670200000000,1466710000000,28.044324,-82.513784,-11,0.485077,138.699997,3,12,gps
18,FALSE,FALSE,9671210000000,1466710000000,28.044316,-82.513784,-10,0,0,3,11,gps
19,FALSE,FALSE,9671210000000,1466710000000,28.044316,-82.513784,-10,0,0,3,11,gps
20,FALSE,FALSE,9672200000000,1466710000000,28.044313,-82.513776,-10,0,0,3,11,gps
21,FALSE,FALSE,9673200000000,1466710000000,28.044309,-82.513774,-10,0,0,3,11,gps
22,FALSE,FALSE,9673200000000,1466710000000,28.044309,-82.513774,-10,0,0,3,11,gps
23,FALSE,FALSE,9674200000000,1466710000000,28.044308,-82.513774,-11,0,0,3,10,gps
24,FALSE,FALSE,9674200000000,1466710000000,28.044308,-82.513774,-11,0,0,3,10,gps
25,FALSE,FALSE,9675200000000,1466710000000,28.044313,-82.513775,-10,0.410122,138.899994,3,11,gps
26,FALSE,FALSE,9676200000000,1466710000000,28.044319,-82.513786,-9,1.570127,138.899994,3,12,gps
27,FALSE,FALSE,9676200000000,1466710000000,28.044319,-82.513786,-9,1.570127,138.899994,3,12,gps
28,FALSE,FALSE,9677200000000,1466710000000,28.044334,-82.513806,-8,2.810071,313.100006,3,12,gps
29,FALSE,FALSE,9678200000000,1466710000000,28.044358,-82.513834,-7,4.210107,313.100006,3,12,gps
30,FALSE,FALSE,9678200000000,1466710000000,28.044358,-82.513834,-7,4.210107,313.100006,3,12,gps
31,FALSE,FALSE,9679200000000,1466710000000,28.044394,-82.513875,-6,5.770009,313.600006,3,12,gps
32,FALSE,FALSE,9679200000000,1466710000000,28.044394,-82.513875,-6,5.770009,313.600006,3,12,gps
33,FALSE,FALSE,9680200000000,1466710000000,28.044434,-82.513926,-7,7.110007,314.200012,3,11,gps
34,FALSE,FALSE,9680200000000,1466710000000,28.044434,-82.513926,-7,7.110007,314.200012,3,11,gps
35,FALSE,FALSE,9681200000000,1466710000000,28.044486,-82.513987,-6,8.330024,313.700012,3,11,gps
36,FALSE,FALSE,9681200000000,1466710000000,28.044486,-82.513987,-6,8.330024,313.700012,3,11,gps
37,FALSE,FALSE,9682200000000,1466710000000,28.04454,-82.51406,-6,9.400021,312.799988,3,12,gps
38,FALSE,FALSE,9683200000000,1466710000000,28.044602,-82.514136,-6,10.250122,312.899994,3,12,gps
39,FALSE,FALSE,9683200000000,1466710000000,28.044602,-82.514136,-6,10.250122,312.899994,3,12,gps
40,FALSE,FALSE,9684200000000,1466710000000,28.044669,-82.514215,-6,11.040005,313.200012,3,11,gps
41,FALSE,FALSE,9684200000000,1466710000000,28.044669,-82.514215,-6,11.040005,313.200012,3,11,gps
42,FALSE,FALSE,9685200000000,1466710000000,28.044741,-82.514304,-6,11.870016,313.600006,3,11,gps
43,FALSE,FALSE,9686200000000,1466710000000,28.044818,-82.514397,-6,12.660035,314,3,11,gps
44,FALSE,FALSE,9686200000000,1466710000000,28.044818,-82.514397,-6,12.660035,314,3,11,gps
45,FALSE,FALSE,9687200000000,1466710000000,28.044903,-82.514496,-5,13.250034,314.700012,3,12,gps
46,FALSE,FALSE,9687200000000,1466710000000,28.044903,-82.514496,-5,13.250034,314.700012,3,12,gps
47,FALSE,FALSE,9688200000000,1466710000000,28.044995,-82.514599,-6,13.860014,314.799988,3,11,gps
48,FALSE,FALSE,9688200000000,1466710000000,28.044995,-82.514599,-6,13.860014,314.799988,3,11,gps
49,FALSE,FALSE,9688200000000,1466710000000,28.044995,-82.514599,-6,13.860014,314.799988,3,11,gps
50,FALSE,FALSE,9689230000000,1466710000000,28.045094,-82.514689,-7,14.365026,314.399994,3,10,gps
51,FALSE,FALSE,9689230000000,1466710000000,28.045094,-82.514689,-7,14.365026,314.399994,3,10,gps
52,FALSE,FALSE,9690250000000,1466710000000,28.045194,-82.514792,-8,14.757808,315.700012,3,9,gps
53,FALSE,FALSE,9690250000000,1466710000000,28.045194,-82.514792,-8,14.757808,315.700012,3,9,gps
54,FALSE,FALSE,9691240000000,1466710000000,28.045286,-82.514905,-7,15.377184,313.399994,3,11,gps
55,FALSE,FALSE,9692220000000,1466710000000,28.045386,-82.515025,-6,15.572341,312.399994,3,8,gps
56,FALSE,FALSE,9692220000000,1466710000000,28.045386,-82.515025,-6,15.572341,312.399994,3,8,gps
57,FALSE,FALSE,9693200000000,1466710000000,28.045489,-82.515147,-7,15.873642,316.700012,3,10,gps
58,FALSE,FALSE,9694190000000,1466710000000,28.045594,-82.515256,-9,15.683906,313.399994,3,11,gps
59,FALSE,FALSE,9694190000000,1466710000000,28.045594,-82.515256,-9,15.683906,313.399994,3,11,gps
60,FALSE,FALSE,9695200000000,1466710000000,28.045696,-82.515373,-10,16.491095,314.200012,3,11,gps
61,FALSE,FALSE,9695200000000,1466710000000,28.045696,-82.515373,-10,16.491095,314.200012,3,11,gps
62,FALSE,FALSE,9696200000000,1466710000000,28.045785,-82.515493,-11,15.169614,306.700012,3,11,gps
63,FALSE,FALSE,9696200000000,1466710000000,28.045785,-82.515493,-11,15.169614,306.700012,3,11,gps
64,FALSE,FALSE,9697220000000,1466710000000,28.045884,-82.515614,-12,16.480003,313.299988,3,8,gps
65,FALSE,FALSE,9697220000000,1466710000000,28.045884,-82.515614,-12,16.480003,313.299988,3,8,gps
66,FALSE,FALSE,9698210000000,1466710000000,28.045986,-82.515736,-12,16.470011,313.299988,3,8,gps
67,FALSE,FALSE,9699200000000,1466710000000,28.046086,-82.515859,-12,16.490013,313.700012,3,12,gps
68,FALSE,FALSE,9699200000000,1466710000000,28.046086,-82.515859,-12,16.490013,313.700012,3,12,gps
69,FALSE,FALSE,9700200000000,1466710000000,28.046189,-82.51599,-9,16.233353,314,3,12,gps
70,FALSE,FALSE,9700200000000,1466710000000,28.046189,-82.51599,-9,16.233353,314,3,12,gps
71,FALSE,FALSE,9701210000000,1466710000000,28.046293,-82.516111,-9,16.490877,313.899994,3,12,gps
72,FALSE,FALSE,9701210000000,1466710000000,28.046293,-82.516111,-9,16.490877,313.899994,3,12,gps
73,FALSE,FALSE,9702200000000,1466710000000,28.046394,-82.516224,-9,15.951254,313.5,3,11,gps
74,FALSE,FALSE,9703200000000,1466710000000,28.046495,-82.516341,-9,16.360249,314.299988,3,10,gps
75,FALSE,FALSE,9703200000000,1466710000000,28.046495,-82.516341,-9,16.360249,314.299988,3,10,gps
76,FALSE,FALSE,9704200000000,1466710000000,28.046605,-82.516469,-10,16.440306,315.100006,3,11,gps
77,FALSE,FALSE,9704200000000,1466710000000,28.046605,-82.516469,-10,16.440306,315.100006,3,11,gps
78,FALSE,FALSE,9705200000000,1466710000000,28.046711,-82.51659,-11,16.660192,314.399994,3,11,gps
79,FALSE,FALSE,9706200000000,1466710000000,28.046821,-82.516716,-12,16.527946,315.899994,3,11,gps
80,FALSE,FALSE,9706200000000,1466710000000,28.046821,-82.516716,-12,16.527946,315.899994,3,11,gps
81,FALSE,FALSE,9707220000000,1466710000000,28.046923,-82.516837,-12,16.969999,314.600006,3,8,gps
82,FALSE,FALSE,9707220000000,1466710000000,28.046923,-82.516837,-12,16.969999,314.600006,3,8,gps
83,FALSE,FALSE,9708210000000,1466710000000,28.047031,-82.516961,-11,17.060143,313.600006,3,11,gps
84,FALSE,FALSE,9708210000000,1466710000000,28.047031,-82.516961,-11,17.060143,313.600006,3,11,gps
85,FALSE,FALSE,9709190000000,1466710000000,28.047137,-82.517079,-11,16.700865,314.399994,3,10,gps
86,FALSE,FALSE,9709190000000,1466710000000,28.047137,-82.517079,-11,16.700865,314.399994,3,10,gps
87,FALSE,FALSE,9710190000000,1466710000000,28.047247,-82.517196,-11,16.720074,315.700012,3,10,gps
88,FALSE,FALSE,9711200000000,1466710000000,28.047343,-82.517321,-11,16.653074,312.799988,3,11,gps
89,FALSE,FALSE,9711200000000,1466710000000,28.047343,-82.517321,-11,16.653074,312.799988,3,11,gps
90,FALSE,FALSE,9712210000000,1466710000000,28.047442,-82.51743,-14,17.07,313.700012,3,12,gps
91,FALSE,FALSE,9712210000000,1466710000000,28.047442,-82.51743,-14,17.07,313.700012,3,12,gps
92,FALSE,FALSE,9713230000000,1466710000000,28.047544,-82.51756,-12,16.766312,313.299988,3,11,gps
93,FALSE,FALSE,9713230000000,1466710000000,28.047544,-82.51756,-12,16.766312,313.299988,3,11,gps
94,FALSE,FALSE,9714250000000,1466710000000,28.047645,-82.517687,-10,16.749596,315.200012,3,12,gps
95,FALSE,FALSE,9714250000000,1466710000000,28.047645,-82.517687,-10,16.749596,315.200012,3,12,gps
96,FALSE,FALSE,9715230000000,1466710000000,28.047744,-82.517823,-11,16.790192,314.200012,3,11,gps
97,FALSE,FALSE,9716200000000,1466710000000,28.04785,-82.517963,-10,17.362259,314.200012,3,11,gps
98,FALSE,FALSE,9716200000000,1466710000000,28.04785,-82.517963,-10,17.362259,314.200012,3,11,gps
99,FALSE,FALSE,9717220000000,1466710000000,28.047964,-82.518108,-10,17.56007,313.799988,3,9,gps
100,FALSE,FALSE,9717220000000,1466710000000,28.047964,-82.518108,-10,17.56007,313.799988,3,9,gps
101,FALSE,FALSE,9718210000000,1466710000000,28.048076,-82.518242,-9,17.750044,314,3,9,gps
102,FALSE,FALSE,9719200000000,1466710000000,28.048193,-82.518369,-11,17.710815,313.5,3,10,gps
103,FALSE,FALSE,9719200000000,1466710000000,28.048193,-82.518369,-11,17.710815,313.5,3,10,gps
104,FALSE,FALSE,9720200000000,1466710000000,28.048309,-82.518501,-11,18.090277,313.899994,3,10,gps
105,FALSE,FALSE,9720200000000,1466710000000,28.048309,-82.518501,-11,18.090277,313.899994,3,10,gps
106,FALSE,FALSE,9721200000000,1466710000000,28.048419,-82.518634,-10,18.040003,312.399994,3,11,gps
107,FALSE,FALSE,9722200000000,1466710000000,28.048524,-82.518767,-10,18.090136,312.600006,3,9,gps
108,FALSE,FALSE,9722200000000,1466710000000,28.048524,-82.518767,-10,18.090136,312.600006,3,9,gps
109,FALSE,FALSE,9723190000000,1466710000000,28.04863,-82.518902,-9,18.360012,312.700012,3,10,gps
110,FALSE,FALSE,9724200000000,1466710000000,28.048748,-82.519042,-8,18.431196,312.200012,3,9,gps
111,FALSE,FALSE,9724200000000,1466710000000,28.048748,-82.519042,-8,18.431196,312.200012,3,9,gps
112,FALSE,FALSE,9725200000000,1466710000000,28.04886,-82.519181,-8,18.600067,312.100006,3,10,gps
113,FALSE,FALSE,9726190000000,1466710000000,28.048969,-82.519317,-8,18.550043,311.700012,3,10,gps
