USF Bull Runner_11,USF Bull Runner_203,28.058073,-82.416129,USF Bull Runner_101,28.059175,-82.413421,,,,,,
0,FALSE,FALSE,5873864000000,1468940735226,28.064388,-82.413731,-16,0,0,4,0,fused
1,FALSE,FALSE,5874391355400,1468940736000,28.064389,-82.413734,-15,0,0,4,9,gps
2,FALSE,FALSE,5874391355400,1468940736000,28.064389,-82.413734,-15,0,0,4,9,gps
3,FALSE,FALSE,5874391355400,1468940736000,28.064389,-82.413734,-15,0,0,4,9,gps
4,FALSE,FALSE,5875390360399,1468940737000,28.064388,-82.413735,-15,0,0,4,9,gps
5,FALSE,FALSE,5875390360399,1468940737000,28.064388,-82.413735,-15,0,0,4,9,gps
6,FALSE,FALSE,5876388622482,1468940738000,28.064385,-82.413734,-14,0,0,4,0,fused
7,FALSE,FALSE,5877392101388,1468940739000,28.064384,-82.413736,-14,0,0,3,9,gps
8,FALSE,FALSE,5877392101388,1468940739000,28.064384,-82.413736,-14,0,0,3,9,gps
9,FALSE,FALSE,5878391489460,1468940740000,28.064385,-82.413738,-13,0,0,3,8,gps
10,FALSE,FALSE,5879390068471,1468940741000,28.064386,-82.413739,-13,0,0,3.9,0,fused
11,FALSE,FALSE,5879390068471,1468940741000,28.064386,-82.413739,-13,0,0,3.9,0,fused
12,FALSE,FALSE,5880403502220,1468940742000,28.064387,-82.41374,-13,0,0,3.9,0,fused
13,FALSE,FALSE,5880403502220,1468940742000,28.064387,-82.41374,-13,0,0,3.9,0,fused
14,FALSE,FALSE,5881386496855,1468940743000,28.064387,-82.41374,-13,0,0,4,8,gps
15,FALSE,FALSE,5882385992271,1468940744000,28.064388,-82.41374,-13,0,0,4,0,fused
16,FALSE,FALSE,5882385992271,1468940744000,28.064388,-82.41374,-13,0,0,4,0,fused
17,FALSE,FALSE,5883404453260,1468940745000,28.064388,-82.41374,-13,0,0,3.9,0,fused
18,FALSE,FALSE,5883404453260,1468940745000,28.064388,-82.41374,-13,0,0,3.9,0,fused
19,FALSE,FALSE,5884401693781,1468940746000,28.064388,-82.413741,-12,0,0,4,10,gps
20,FALSE,FALSE,5885390613937,1468940747000,28.064403,-82.413762,-10,2.5,306,3.9,0,fused
21,FALSE,FALSE,5885390613937,1468940747000,28.064403,-82.413762,-10,2.5,306,3.9,0,fused
22,FALSE,FALSE,5886398480812,1468940748000,28.064416,-82.413782,-9,2.5,306,4,0,fused
23,FALSE,FALSE,5886398480812,1468940748000,28.064416,-82.413782,-9,2.5,306,4,0,fused
24,FALSE,FALSE,5887409927114,1468940749000,28.064462,-82.413805,-8,3.75,332,3.9,0,fused
25,FALSE,FALSE,5887409927114,1468940749000,28.064462,-82.413805,-8,3.75,332,3.9,0,fused
26,FALSE,FALSE,5888410220706,1468940750000,28.064502,-82.413815,-5,4,346,4,0,fused
27,FALSE,FALSE,5888410220706,1468940750000,28.064502,-82.413815,-5,4,346,4,0,fused
28,FALSE,FALSE,5889388869456,1468940751000,28.064546,-82.413819,-6,4,354.799988,3,10,gps
29,FALSE,FALSE,5890389590810,1468940752000,28.064598,-82.413819,-6,4.25,2,3.9,0,fused
30,FALSE,FALSE,5890389590810,1468940752000,28.064598,-82.413819,-6,4.25,2,3.9,0,fused
31,FALSE,FALSE,5891384927788,1468940753000,28.06464,-82.413818,-6,4,2.4,3,8,gps
32,FALSE,FALSE,5892409623674,1468940754000,28.064668,-82.413819,-6,2.5,0,3.9,0,fused
33,FALSE,FALSE,5892409623674,1468940754000,28.064668,-82.413819,-6,2.5,0,3.9,0,fused
34,FALSE,FALSE,5893400018619,1468940755000,28.06467,-82.413821,-5,0.5,0.8,3,10,gps
35,FALSE,FALSE,5894411602788,1468940756000,28.064669,-82.413822,-4,0,0,3.9,0,fused
36,FALSE,FALSE,5894411602788,1468940756000,28.064669,-82.413822,-4,0,0,3.9,0,fused
37,FALSE,FALSE,5895393991954,1468940757000,28.064669,-82.413824,-4,0,0,3,10,gps
38,FALSE,FALSE,5895393991954,1468940757000,28.064669,-82.413824,-4,0,0,3,10,gps
39,FALSE,FALSE,5895393991954,1468940757000,28.064669,-82.413824,-4,0,0,3,10,gps
40,FALSE,FALSE,5895393991954,1468940757000,28.064669,-82.413824,-4,0,0,3,10,gps
41,FALSE,FALSE,5896395159661,1468940758000,28.06467,-82.413824,-4,0,0,3,11,gps
42,FALSE,FALSE,5897413203984,1468940759000,28.064675,-82.413825,-4,0.5,0,3.9,0,fused
43,FALSE,FALSE,5897413203984,1468940759000,28.064675,-82.413825,-4,0.5,0,3.9,0,fused
44,FALSE,FALSE,5898392277005,1468940760000,28.064686,-82.413825,-5,1,357.299988,3,11,gps
45,FALSE,FALSE,5899391677108,1468940761000,28.0647,-82.413826,-4,1.25,359,3.9,0,fused
46,FALSE,FALSE,5899391677108,1468940761000,28.0647,-82.413826,-4,1.25,359,3.9,0,fused
47,FALSE,FALSE,5900391428254,1468940762000,28.06473,-82.413824,-5,2.75,5,3.9,0,fused
48,FALSE,FALSE,5900391428254,1468940762000,28.06473,-82.413824,-5,2.75,5,3.9,0,fused
49,FALSE,FALSE,5901392570545,1468940763000,28.064764,-82.413816,-5,3.25,13,3.9,0,fused
50,FALSE,FALSE,5901392570545,1468940763000,28.064764,-82.413816,-5,3.25,13,3.9,0,fused
51,FALSE,FALSE,5902393734191,1468940764000,28.064798,-82.413793,-5,4,30,3.9,0,fused
52,FALSE,FALSE,5902393734191,1468940764000,28.064798,-82.413793,-5,4,30,3.9,0,fused
53,FALSE,FALSE,5903389884087,1468940765000,28.064824,-82.413754,-4,4.5,50.799999,3,10,gps
54,FALSE,FALSE,5904391710961,1468940766000,28.064839,-82.413704,-4,4.75,68,3.9,0,fused
55,FALSE,FALSE,5904391710961,1468940766000,28.064839,-82.413704,-4,4.75,68,3.9,0,fused
56,FALSE,FALSE,5905407385023,1468940767000,28.064845,-82.413654,-4,4.75,79,4,0,fused
57,FALSE,FALSE,5905407385023,1468940767000,28.064845,-82.413654,-4,4.75,79,4,0,fused
58,FALSE,FALSE,5906392686637,1468940768000,28.064846,-82.413602,-4,5,85.099998,3,11,gps
59,FALSE,FALSE,5907394990959,1468940769000,28.064838,-82.413536,-4,5.25,90,4,0,fused
60,FALSE,FALSE,5907394990959,1468940769000,28.064838,-82.413536,-4,5.25,90,4,0,fused
61,FALSE,FALSE,5908390832366,1468940770000,28.064843,-82.413476,-5,5.5,90.800003,3,11,gps
62,FALSE,FALSE,5909402251844,1468940771000,28.064848,-82.413431,-6,5.5,89,3.9,0,fused
63,FALSE,FALSE,5909402251844,1468940771000,28.064848,-82.413431,-6,5.5,89,3.9,0,fused
64,FALSE,FALSE,5910392533823,1468940772000,28.064843,-82.413379,-5,5.25,91.199997,5,11,gps
65,FALSE,FALSE,5911394461167,1468940773000,28.064859,-82.413324,-5,5.5,78,5,0,fused
66,FALSE,FALSE,5911394461167,1468940773000,28.064859,-82.413324,-5,5.5,78,5,0,fused
67,FALSE,FALSE,5912390987676,1468940774000,28.064897,-82.413266,-5,5.75,64.900002,5,11,gps
68,FALSE,FALSE,5913390498562,1468940775000,28.064933,-82.413209,-6,5.75,54.200001,4,11,gps
69,FALSE,FALSE,5913390498562,1468940775000,28.064933,-82.413209,-6,5.75,54.200001,4,11,gps
70,FALSE,FALSE,5914391086894,1468940776000,28.064976,-82.413152,-6,5.75,44,5,0,fused
71,FALSE,FALSE,5914391086894,1468940776000,28.064976,-82.413152,-6,5.75,44,5,0,fused
72,FALSE,FALSE,5914391086894,1468940776000,28.064976,-82.413152,-6,5.75,44,5,0,fused
