Hillsborough Area Regional Transit_144896,Hillsborough Area Regional Transit_4604,28.066453,-82.413144,Hillsborough Area Regional Transit_4219,28.065809,-82.412019
1460424643000,28.065769,-82.409482,0,3.250000,277.799988,gps
1460424644000,28.065756,-82.409544,0,4.250000,265.799988,gps
1460424645000,28.065781,-82.409558,0,4.000000,271.000000,gps
1460424646000,28.065784,-82.409613,0,4.750000,267.100006,gps
1460424647000,28.065779,-82.409647,0,4.500000,264.700012,gps
1460424648000,28.065773,-82.409691,0,4.500000,265.200012,gps
1460424649000,28.065782,-82.409755,0,4.750000,268.000000,gps
1460424650000,28.065781,-82.409785,0,4.250000,270.500000,gps
1460424651000,28.065781,-82.409816,0,4.000000,269.000000,gps
1460424652000,28.065783,-82.409861,0,4.000000,270.799988,gps
1460424653000,28.065784,-82.409899,0,3.750000,267.000000,gps
1460424654000,28.065783,-82.409935,0,3.500000,266.600006,gps
1460424655000,28.065782,-82.409969,0,3.250000,262.899994,gps
1460424656000,28.065783,-82.409984,0,1.750000,265.000000,gps
1460424657000,28.065784,-82.410011,0,1.750000,261.100006,gps
1460424658000,28.065783,-82.410041,0,2.000000,258.299988,gps
1460424659000,28.065780,-82.410069,0,2.250000,259.100006,gps
1460424660000,28.065781,-82.410119,0,3.750000,263.799988,gps
1460424661000,28.065782,-82.410179,0,4.750000,264.899994,gps
1460424662000,28.065784,-82.410232,0,4.500000,268.000000,gps
1460424663000,28.065783,-82.410281,0,4.500000,267.399994,gps
1460424664000,28.065786,-82.410335,0,4.500000,269.299988,gps
1460424665000,28.065783,-82.410387,0,4.750000,263.700012,gps
1460424666000,28.065774,-82.410442,0,4.750000,258.700012,gps
1460424667000,28.065761,-82.410517,0,5.250000,264.700012,gps
1460424668000,28.065751,-82.410561,0,5.000000,266.899994,gps
1460424669000,28.065767,-82.410640,0,4.500000,269.799988,gps
1460424670000,28.065769,-82.410711,0,4.000000,267.500000,gps
1460424671000,28.065764,-82.410743,0,3.500000,266.000000,gps
1460424672000,28.065736,-82.410792,0,4.500000,256.899994,gps
1460424673000,28.065740,-82.410791,0,3.750000,265.000000,gps
1460424674000,28.065761,-82.410848,0,4.250000,269.100006,gps
1460424675000,28.065766,-82.410913,0,4.750000,269.399994,gps
1460424676000,28.065751,-82.410957,0,5.000000,266.299988,gps
1460424677000,28.065760,-82.410990,0,5.500000,271.700012,gps
1460424678000,28.065771,-82.411067,0,6.500000,271.799988,gps
1460424679000,28.065794,-82.411177,0,7.750000,274.200012,gps
1460424680000,28.065796,-82.411255,0,7.750000,270.700012,gps
1460424681000,28.065794,-82.411343,0,8.250000,272.200012,gps
1460424682000,28.065797,-82.411409,0,8.000000,272.200012,gps
1460424683000,28.065793,-82.411492,0,7.250000,271.500000,gps
1460424684000,28.065779,-82.411585,0,7.500000,266.000000,gps
1460424685000,28.065775,-82.411659,0,7.750000,269.299988,gps
1460424686000,28.065781,-82.411748,0,7.750000,270.700012,gps
1460424687000,28.065791,-82.411850,0,8.250000,271.600006,gps
1460424688000,28.065791,-82.411914,0,6.500000,272.700012,gps
1460424689000,28.065772,-82.411928,0,5.000000,271.799988,gps
1460424690000,28.065765,-82.411957,0,4.000000,268.000000,gps
1460424691000,28.065752,-82.411957,0,2.750000,270.700012,gps
1460424692000,28.065752,-82.411988,0,2.250000,250.600006,gps
1460424693000,28.065738,-82.412014,0,2.250000,250.100006,gps
1460424694000,28.065754,-82.412026,0,1.250000,283.500000,gps
1460424695000,28.065767,-82.412026,0,1.000000,296.299988,gps
1460424696000,28.065751,-82.412037,0,0.750000,264.000000,gps
1460424697000,28.065742,-82.412030,0,0.500000,264.000000,gps
1460424698000,28.065775,-82.412072,0,1.000000,310.700012,gps
1460424699000,28.065779,-82.412058,0,0.750000,310.700012,gps
1460424700000,28.065775,-82.412051,0,0.500000,310.700012,gps
1460424701000,28.065781,-82.412062,0,0.500000,310.700012,gps
1460424702000,28.065787,-82.412076,0,0.750000,271.100006,gps
1460424703000,28.065796,-82.412095,0,1.000000,274.000000,gps
1460424704000,28.065802,-82.412137,0,3.000000,272.700012,gps
1460424705000,28.065803,-82.412186,0,4.000000,266.600006,gps
1460424706000,28.065799,-82.412247,0,5.000000,263.000000,gps
1460424707000,28.065800,-82.412345,0,6.250000,266.500000,gps
1460424708000,28.065801,-82.412428,0,7.250000,269.200012,gps
1460424709000,28.065811,-82.412498,0,7.750000,270.299988,gps
1460424710000,28.065807,-82.412569,0,7.500000,269.899994,gps
1460424711000,28.065799,-82.412628,0,6.500000,265.299988,gps
1460424712000,28.065802,-82.412732,0,7.000000,265.700012,gps
1460424713000,28.065806,-82.412808,0,7.000000,268.200012,gps
1460424714000,28.065833,-82.412929,0,7.750000,275.200012,gps
1460424715000,28.065817,-82.413058,0,8.500000,272.100006,gps
1460424716000,28.065841,-82.413146,0,8.250000,276.700012,gps
1460424717000,28.065786,-82.413128,0,6.000000,265.399994,gps
1460424718000,28.065862,-82.413166,0,4.250000,298.700012,gps
1460424719000,28.065887,-82.413229,0,4.000000,308.700012,gps
1460424720000,28.065922,-82.413218,0,5.250000,344.500000,gps
1460424721000,28.065970,-82.413189,0,5.250000,349.799988,gps
1460424722000,28.066019,-82.413165,0,5.500000,354.399994,gps
1460424723000,28.066065,-82.413132,0,5.500000,4.400000,gps
1460424724000,28.066171,-82.413175,0,7.250000,354.899994,gps
1460424725000,28.066230,-82.413198,0,7.250000,351.200012,gps
1460424726000,28.066277,-82.413222,0,6.750000,348.700012,gps
1460424727000,28.066346,-82.413222,0,7.000000,351.100006,gps
1460424728000,28.066492,-82.413224,0,9.500000,357.000000,gps
1460424729000,28.066583,-82.413235,0,9.750000,356.100006,gps
1460424730000,28.066732,-82.413188,0,11.250000,2.200000,gps
1460424731000,28.066833,-82.413175,0,10.000000,2.300000,gps
1460424732000,28.066917,-82.413166,0,8.750000,1.600000,gps
1460424733000,28.066994,-82.413172,0,7.500000,0.900000,gps
1460424734000,28.067063,-82.413175,0,6.750000,1.900000,gps
1460424735000,28.067109,-82.413177,0,5.750000,358.600006,gps
1460424736000,28.067148,-82.413177,0,4.750000,1.300000,gps
1460424737000,28.067177,-82.413177,0,3.500000,1.500000,gps
